"itemImage","trialType","keypressTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","initTime","basicAccuracy",
"Tools/lighter 1.jpg",2,5755.2077,2,1,2,0,"-1",0,0,1,0,5752.9605,5754.9731,5752.8046,0.84,
"Tools/shovel 1.jpg",1,5757.7437,1,2,2,2,"1",1,0,0,0,5756.2704,5758.283,,,
"Tools/gloves 2.jpg",2,5760.8077,2,3,2,0,"-1",0,0,1,0,5759.3641,5761.3767,,,
"Tools/typewriter 1.jpg",1,5765.0157,1,2,2,2,"2",1,0,0,0,5762.4412,5764.4538,,,
"Tools/mop 1.jpg",2,5767.3196,2,2,2,0,"-1",0,0,1,0,5766.1004,5768.113,,,
"Tools/stapler 2.jpg",1,5770.3356,1,3,2,2,"3",1,0,0,0,5769.1775,5771.1901,,,
"Tools/food processor 1.jpg",1,5774.6715,2,1,2,2,"2",0,0,0,1,5772.2545,5774.2671,,,
"Tools/tray food dehydrater.jpg",2,5777.5195,2,1,2,0,"-1",0,0,1,0,5775.7475,5777.7601,,,
"Tools/tube2.jpg",1,5779.8315,2,2,2,2,"1",0,0,0,1,5778.8246,5780.8372,,,
"Tools/hanger 2.jpg",2,5783.4874,1,2,2,0,"-1",0,1,0,0,5781.9349,5783.9475,,,
"Tools/whistle 1.jpg",2,5786.3594,2,2,2,0,"-1",0,0,1,0,5785.0286,5787.0412,,,
"Tools/duster 1.jpg",2,5789.6553,2,2,2,0,"-1",0,0,1,0,5788.1389,5790.1515,,,
"Tools/nail clipper 1.jpg",1,5792.4473,1,3,2,2,"3",1,0,0,0,5791.216,5793.2286,,,
"Tools/compressor 1.jpg",1,5796.4393,1,1,2,2,"1",1,0,0,0,5794.2931,5796.3057,,,
"Tools/cup 1 D.jpg",2,5799.0072,2,3,2,0,"-1",0,0,1,0,5797.5199,5799.5325,,,
"Tools/lock 1.jpg",2,5801.8712,2,2,2,0,"-1",0,0,1,0,5800.6136,5802.6262,,,
"Tools/meter1.jpg",1,5805.4711,1,2,2,2,"1",1,0,0,0,5803.6907,5805.7033,,,
"Tools/gardening 2.jpg",2,5808.9191,1,1,2,0,"-1",0,1,0,0,5806.7844,5808.797,,,
"Tools/kettle 1.jpg",1,5811.6391,1,3,2,2,"3",1,0,0,0,5809.9779,5811.9905,,,
"Tools/headphones 1.jpg",1,5814.559,1,2,2,2,"2",1,0,0,0,5813.0549,5815.0676,,,
"Tools/weed cutter 1 D.jpg",1,5817.959,1,1,2,2,"2",1,0,0,0,5816.132,5818.1446,,,
"Tools/double burner 1.jpg",2,5821.407,2,1,2,0,"-1",0,0,1,0,5819.2258,5821.2383,,,
"Tools/ladder 2.jpg",1,5823.9669,1,3,2,2,"2",1,0,0,0,5822.4692,5824.4817,,,
"Tools/extinguisher 1.jpg",1,5826.9908,1,3,2,2,"2",1,0,0,0,5825.5462,5827.5588,,,
"Tools/chocolate fondue fountain 1.jpg",2,5830.2308,2,1,2,0,"-1",0,0,1,0,5828.6566,5830.6692,,,
"Tools/shower scrub 1.jpg",1,5832.8628,2,2,2,2,"1",0,0,0,1,5831.7337,5833.7463,,,
"Tools/nail filer 1.jpg",1,5835.9588,1,2,2,2,"1",1,0,0,0,5834.8108,5836.8233,,,
"Tools/jump start wires 1.jpg",1,5838.9107,1,3,2,2,"2",1,0,0,0,5837.8878,5839.9004,,,
"Tools/blender1.jpg",2,5841.9747,2,2,2,0,"-1",0,0,1,0,5840.9815,5842.9941,,,
"Tools/wrench3.jpg",2,5846.3986,2,1,2,0,"-1",0,0,1,0,5844.0753,5846.0878,,,
"Tools/microwave 2.jpg",1,5849.2226,1,3,2,2,"3",1,0,0,0,5847.4517,5849.4643,,,
"Tools/flashlight 1.jpg",1,5851.7986,1,3,2,2,"3",1,0,0,0,5850.5288,5852.5414,,,
"Tools/can opener 2.jpg",2,5855.1025,2,2,2,0,"-1",0,0,1,0,5853.6228,5855.6351,,,
"Tools/cone 1.jpg",1,5857.5665,1,3,2,2,"3",1,0,0,0,5856.6996,5858.7122,,,
"Tools/ladle 1.jpg",1,5860.5825,1,3,2,2,"3",1,0,0,0,5859.7766,5861.7892,,,
"Tools/ax1.jpg",2,5864.1984,2,2,2,0,"-1",0,0,1,0,5862.887,5864.8996,,,
"Tools/screw driver 1.jpg",2,5867.5504,2,1,2,0,"-1",0,0,1,0,5865.9974,5868.0099,,,
"Tools/organizer 1.jpg",2,5870.4063,2,1,2,0,"-1",0,0,1,0,5869.0911,5871.1036,,,
"Tools/saw 3.jpg",1,5873.4143,2,1,2,2,"1",0,0,0,1,5872.1681,5874.1807,,,
"Tools/iron 1.jpg",2,5876.1182,2,1,2,0,"-1",0,0,1,0,5875.2619,5877.2744,,,
"Tools/hot glue gun 1.jpg",1,5879.2862,1,3,2,2,"2",1,0,0,0,5878.3389,5880.3515,,,
"Tools/stapler 1.jpg",1,5882.8782,2,1,2,2,"3",0,0,0,1,5881.416,5883.4286,,,
"Tools/grill 1.jpg",2,5885.9501,2,1,2,0,"-1",0,0,1,0,5884.543,5886.5556,,,
"Tools/calculator 1.jpg",2,5888.7501,2,2,2,0,"-1",0,0,1,0,5887.6533,5889.6659,,,
"Tools/safety pin 1.jpg",2,5891.7501,2,2,2,0,"-1",0,0,1,0,5890.7637,5892.7762,,,
"Tools/measuring cup1.jpg",2,5895.022,2,1,2,0,"-1",0,0,1,0,5893.8574,5895.87,,,
"Tools/fan 1.jpg",2,5898.638,2,2,2,0,"-1",0,0,1,0,5896.9677,5898.9803,,,
"Tools/box of supplies 1.jpg",1,5900.9979,1,3,2,2,"2",1,0,0,0,5900.0448,5902.0574,,,
"Tools/soda maker 1.jpg",1,5905.2939,2,1,2,2,"1",0,0,0,1,5903.1219,5905.1345,,,
"Tools/cup 2 D.jpg",2,5907.6539,2,3,2,0,"-1",0,0,1,0,5906.3653,5908.3779,,,

