"itemImage","trialType","responseTime","resp","conf","itemCat","fromVisit","familRating","hits","falseAlarms","corrRej","misses","imgOnTime","imgOffTime","imgStartle","ISIStartle","initTime","basicAccuracy",
"Tools/bread maker 2.jpg",1,2279.5983,2,1,2,2,"1",0,0,0,1,2275.0837,2279.1089,0,0,2274.6233,0.4,
"Tools/stapler 3.jpg",2,2296.0781,2,1,2,0,"-1",0,0,1,0,2290.6691,2294.6939,0,0,,,
"Tools/electric kettle 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,2306.287,2310.3123,0,0,,,
"Tools/cookie cutter 1.jpg",2,2326.8699,2,3,2,0,"-1",0,0,1,0,2321.922,2325.9471,0,0,,,
"Tools/cleaning supplies 1.jpg",2,2342.3497,1,1,2,0,"-1",0,1,0,0,2337.5236,2341.549,2340.2829,0,,,
"Tools/box of tools 1.jpg",2,2357.8056,1,1,2,0,"-1",0,1,0,0,2353.1419,2357.1672,2355.8966,0,,,
"Tools/meat slicer 1.jpg",1,2374.3974,2,2,2,2,"1",0,0,0,1,2368.7436,2372.7688,0,0,,,
"Tools/meat slicer 2.jpg",1,2390.0213,2,2,2,2,"1",0,0,0,1,2384.3286,2388.3539,0,0,,,
"Tools/electric burner 1.jpg",1,2405.2131,-1,0,2,2,"1",0,0,0,0,2399.9303,2403.9555,0,0,,,
"Tools/broom 2.jpg",1,2419.997,1,1,2,2,"1",1,0,0,0,2415.532,2419.5572,2418.2866,0,,,
"Tools/paperclip1.jpg",1,2436.5008,1,3,2,2,"2",1,0,0,0,2431.117,2435.1422,0,0,,,
"Tools/rake 2.jpg",2,2451.0847,1,1,2,0,"-1",0,1,0,0,2446.702,2450.7272,0,2456.4928,,,
"Tools/bell 1.jpg",2,2468.3085,1,1,2,0,"-1",0,1,0,0,2462.3037,2466.3289,0,0,,,
"Tools/scrubber 2.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,2477.8889,2481.9139,0,0,,,
"Tools/megaphone 1.jpg",1,2499.0842,1,1,2,2,"NR",1,0,0,0,2493.507,2497.5322,0,2503.2976,,,
"Tools/tweezers 1.jpg",2,2514.7721,1,1,2,0,"-1",0,1,0,0,2509.1087,2513.1339,0,0,,,
"Tools/curling iron 1.jpg",1,2529.644,1,3,2,2,"3",1,0,0,0,2524.6937,2528.719,2527.4481,0,,,
"Tools/sponge 1.jpg",1,2545.7958,1,3,2,2,"2",1,0,0,0,2540.2787,2544.3039,0,0,,,
"Tools/scissors 1.jpg",2,2561.0997,1,2,2,0,"-1",0,1,0,0,2555.8638,2559.889,0,2565.65,,,
"Tools/plug 1.jpg",2,2578.4835,1,2,2,0,"-1",0,1,0,0,2571.4655,2575.4906,0,2581.2563,,,
"Tools/pressure cooker.jpg",2,2592.6674,1,1,2,0,"-1",0,1,0,0,2587.0505,2591.0757,0,2596.8413,,,
"Tools/can opener 1.jpg",2,2608.2112,1,1,2,0,"-1",0,1,0,0,2602.6355,2606.6608,2605.39,0,,,
"Tools/wire 1.jpg",2,2624.7071,1,2,2,0,"-1",0,1,0,0,2618.2206,2622.2457,0,0,,,
"Tools/blood pressure monitor 1.jpg",1,2640.6349,1,1,2,2,"1",1,0,0,0,2633.8056,2637.8308,0,0,,,
"Tools/wheel barrel 1.jpg",1,2655.6508,1,3,2,2,"3",1,0,0,0,2649.3906,2653.4158,0,0,,,
"Tools/saw 2.jpg",2,2671.8026,1,2,2,0,"-1",0,1,0,0,2664.9757,2669.0008,0,0,,,
"Tools/tripod 1.jpg",1,2686.0985,1,3,2,2,"2",1,0,0,0,2680.5607,2684.586,0,0,,,
"Tools/blender 2.jpg",2,2701.4263,1,2,2,0,"-1",0,1,0,0,2696.1624,2700.1876,2698.9171,0,,,
"Tools/popcorn butter warmer 1.jpg",2,2716.9462,1,2,2,0,"-1",0,1,0,0,2711.7474,2715.7726,0,0,,,
"Tools/magnify glass 1.jpg",1,2732.018,1,3,2,2,"1",1,0,0,0,2727.3658,2731.3909,0,0,,,
"Tools/wrench 1.jpg",1,2747.4739,1,2,2,2,"2",1,0,0,0,2743.0506,2747.0758,2745.8056,0,,,
"Tools/wine glass 2 D.jpg",1,2763.0578,1,3,2,2,"3",1,0,0,0,2758.6522,2762.6774,0,0,,,
"Tools/tube1.jpg",1,NaN,-1,0,2,2,"1",0,0,0,0,2774.2372,2778.2458,0,0,,,
"Tools/wheel barrel 2.jpg",2,2795.4815,1,2,2,0,"-1",0,1,0,0,2789.8223,2793.8474,0,0,,,
"Tools/faucet 1.jpg",1,2810.1373,1,2,2,2,"2",1,0,0,0,2805.4073,2809.4325,0,0,,,
"Tools/sharpener 1.jpg",2,2825.5692,1,3,2,0,"-1",0,1,0,0,2820.9923,2825.0175,0,0,,,
"Tools/griddle 1.jpg",2,2840.993,1,3,2,0,"-1",0,1,0,0,2836.594,2840.6192,2839.3489,0,,,
"Tools/measuring spoons1.jpg",2,2856.4888,2,1,2,0,"-1",0,0,1,0,2852.179,2856.2042,0,2861.9697,,,
"Tools/wooden pin 1.jpg",1,NaN,-1,0,2,2,"2",0,0,0,0,2867.7807,2871.8059,0,0,,,
"Tools/tableiron1.jpg",1,NaN,-1,0,2,2,"2",0,0,0,0,2883.4656,2887.4907,0,0,,,
"Tools/pan 1.jpg",1,2904.3444,1,2,2,2,"3",1,0,0,0,2899.0506,2903.0758,2901.8049,0,,,
"Tools/pressure gauge 2.jpg",1,2919.7523,1,2,2,2,"1",1,0,0,0,2914.6356,2918.6608,2917.3902,2924.4262,,,
"Tools/fixing 2.jpg",2,2935.5681,2,1,2,0,"-1",0,0,1,0,2930.2206,2934.2459,2932.9736,0,,,
"Tools/egg cooker 2.jpg",1,2950.16,1,3,2,2,"2",1,0,0,0,2945.8223,2949.8475,0,0,,,
"Tools/tape 1.jpg",1,NaN,-1,0,2,2,"1",0,0,0,0,2961.4073,2965.4326,2964.1619,2971.198,,,
"Tools/water filter 1 D.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,2976.9924,2981.0176,0,0,,,
"Tools/hole punche 1.jpg",1,2997.5355,2,1,2,2,"2",0,0,0,1,2992.5774,2996.6026,2995.3318,0,,,
"Tools/rubber bands 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3008.1791,3012.2043,3010.9334,0,,,
"Tools/peeler 1.jpg",2,NaN,-1,0,2,0,"-1",0,0,0,0,3023.7641,3027.7894,3026.5185,0,,,
"Tools/pot 1.jpg",1,3044.0391,1,3,2,2,"2",1,0,0,0,3039.3662,3043.391,3042.1209,0,,,

